time, price
02-04 07:28,"2,288.68"
02-04 07:30,"2,289.70"
02-04 07:32,"2,290.30"
02-04 07:34,"2,289.98"
02-04 07:36,"2,288.76"
02-04 07:38,"2,288.73"
02-04 07:40,"2,288.55"
02-04 07:42,"2,288.99"
02-04 07:44,"2,289.32"
02-04 07:46,"2,288.81"
02-04 07:48,"2,289.07"
02-04 07:50,"2,289.08"
02-04 07:52,"2,289.82"
02-04 07:54,"2,290.21"
02-04 07:56,"2,291.10"
02-04 07:57,"2,290.03"
02-04 07:59,"2,289.86"
02-04 08:01,"2,289.77"
02-04 08:03,"2,290.69"
02-04 08:05,"2,289.56"
02-04 08:07,"2,289.48"
02-04 08:09,"2,289.45"
02-04 08:11,"2,289.15"
02-04 08:14,"2,289.78"
02-04 08:16,"2,290.15"
02-04 08:18,"2,289.99"
02-04 08:19,"2,290.14"
02-04 08:21,"2,290.04"
02-04 08:23,"2,290.30"
02-04 08:25,"2,290.15"
02-05 08:53,"2,319.10"
02-05 08:53,"2,319.10"
02-05 08:54,"2,320.97"
02-05 08:54,"2,320.97"
02-05 08:55,"2,321.39"
02-05 08:55,"2,321.28"
02-05 08:57,"2,322.01"
02-05 08:57,"2,322.01"
02-05 08:57,"2,322.01"
02-05 08:58,"2,321.59"
05-07 11:19,"3,102.20"
05-07 11:21,"3,091.56"
